Review,Liked,cleaned,vader_neg,vader_neu,vader_pos,vader_compound,vader_pred
Service is also cute.,1,service also cute,0.0,0.5,0.5,0.4588,1
I could care less... The interior is just beautiful.,1,could care less interior beautiful,0.0,0.458,0.542,0.7964,1
So they performed.,1,performed,0.0,1.0,0.0,0.0,0
That's right....the red velvet cake.....ohhh this stuff is so good.,1,right red velvet cake ohhh stuff good,0.0,0.706,0.294,0.5777,1
- They never brought a salad we asked for.,0,never brought salad asked,0.0,1.0,0.0,0.0,0
"This hole in the wall has great Mexican street tacos, and friendly staff.",1,hole wall great mexican street taco friendly staff,0.0,0.601,0.399,0.8074,1
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,took hour get food table restaurant food luke warm sever running around like totally overwhelmed,0.0,0.796,0.204,0.5984,1
The worst was the salmon sashimi.,0,worst salmon sashimi,0.451,0.549,0.0,-0.6249,0
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,also combo like burger fry beer decent deal,0.0,0.848,0.152,0.3612,1
This was like the final blow!,0,like final blow,0.0,0.642,0.358,0.4199,1
I found this place by accident and I could not be happier.,1,found place accident could not happier,0.423,0.577,0.0,-0.7074,0
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,seems like good quick place grab bite familiar pub food favor look elsewhere,0.0,0.701,0.299,0.7391,1
"Overall, I like this place a lot.",1,overall like place lot,0.0,0.615,0.385,0.3612,1
The only redeeming quality of the restaurant was that it was very inexpensive.,1,redeeming quality restaurant inexpensive,0.0,1.0,0.0,0.0,0
Ample portions and good prices.,1,ample portion good price,0.0,0.58,0.42,0.4404,1
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,poor service waiter made feel like stupid every time came table,0.283,0.609,0.109,-0.6124,0
My first visit to Hiro was a delight!,1,first visit hiro delight,0.0,0.589,0.411,0.636,1
Service sucks.,0,service suck,0.714,0.286,0.0,-0.3612,0
The shrimp tender and moist.,1,shrimp tender moist,0.0,1.0,0.0,0.0,0
There is not a deal good enough that would drag me into that establishment again.,0,not deal good enough would drag establishment,0.264,0.736,0.0,-0.5116,0
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,hard judge whether side good grossed melted styrofoam not want eat fear getting sick,0.297,0.621,0.082,-0.683,0
"On a positive note, our server was very attentive and provided great service.",1,positive note server attentive provided great service,0.0,0.565,0.435,0.8271,1
"Frozen pucks of disgust, with some of the worst people behind the register.",0,frozen puck disgust worst people behind register,0.421,0.579,0.0,-0.8402,0
The only thing I did like was the prime rib and dessert section.,1,thing like prime rib dessert section,0.0,0.815,0.185,0.3612,1
It's too bad the food is so damn generic.,0,bad food damn generic,0.5,0.5,0.0,-0.79,0
"The burger is good beef, cooked just right.",1,burger good beef cooked right,0.0,0.707,0.293,0.4404,1
If you want a sandwich just go to any Firehouse!!!!!,1,want sandwich go firehouse,0.0,0.764,0.236,0.3544,1
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,side greek salad greek dressing tasty pita hummus refreshing,0.159,0.841,0.0,-0.5267,0
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,ordered duck rare pink tender inside nice char outside,0.0,0.872,0.128,0.4215,1
He came running after us when he realized my husband had left his sunglasses on the table.,1,came running u realized husband left sunglass table,0.0,1.0,0.0,0.0,0
Their chow mein is so good!,1,chow mein good,0.0,0.554,0.446,0.6166,1
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,horrible attitude towards customer talk one customer not enjoy food,0.277,0.723,0.0,-0.7293,0
The portion was huge!,1,portion huge,0.0,0.536,0.464,0.3802,1
"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,loved friendly server great food wonderful imaginative menu,0.0,0.339,0.661,0.9136,1
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,heart attack grill downtown vega absolutely flat lined excuse restaurant,0.186,0.719,0.095,-0.3657,0
Not much seafood and like 5 strings of pasta at the bottom.,0,not much seafood like string pasta bottom,0.0,0.8,0.2,0.3612,1
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,salad right amount sauce not power scallop perfectly cooked,0.0,0.811,0.189,0.6369,1
"The ripped banana was not only ripped, but petrified and tasteless.",0,ripped banana not ripped petrified tasteless,0.322,0.678,0.0,-0.6956,0
At least think to refill my water before I struggle to wave you over for 10 minutes.,0,least think refill water struggle wave minute,0.133,0.867,0.0,-0.3182,0
This place receives stars for their APPETIZERS!!!,1,place receives star appetizer,0.0,1.0,0.0,0.0,0
The cocktails are all handmade and delicious.,1,cocktail handmade delicious,0.0,0.619,0.381,0.5719,1
We'd definitely go back here again.,1,definitely go back,0.0,0.649,0.351,0.4019,1
We are so glad we found this place.,1,glad found place,0.0,0.644,0.356,0.5949,1
"Great food and service, huge portions and they give a military discount.",1,great food service huge portion give military discount,0.0,0.584,0.416,0.7506,1
Always a great time at Dos Gringos!,1,always great time do gringo,0.0,0.532,0.468,0.6588,1
Update.....went back for a second time and it was still just as amazing,1,update went back second time still amazing,0.0,0.743,0.257,0.5859,1
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,got food apparently never heard salt batter fish chewy,0.0,1.0,0.0,0.0,0
A great way to finish a great.,1,great way finish great,0.0,0.268,0.732,0.8481,1
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,deal included tasting drink jeff went beyond expected,0.0,1.0,0.0,0.0,0
"- Really, really good rice, all the time.",1,really really good rice time,0.0,0.633,0.367,0.5379,1
The service was meh.,0,service meh,0.302,0.698,0.0,-0.0772,0
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,took min get milkshake nothing chocolate milk,0.0,1.0,0.0,0.0,0
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0,guess known place would suck inside excalibur not use common sense,0.085,0.915,0.0,-0.2382,0
The scallop dish is quite appalling for value as well.,0,scallop dish quite appalling value well,0.192,0.481,0.327,0.2431,1
2 times - Very Bad Customer Service !,0,time bad customer service,0.505,0.495,0.0,-0.623,0
The sweet potato fries were very good and seasoned well.,1,sweet potato fry good seasoned well,0.0,0.458,0.542,0.807,1
Today is the second time I've been to their lunch buffet and it was pretty good.,1,today second time lunch buffet pretty good,0.0,0.697,0.303,0.7269,1
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0,much good food vega feel cheated wasting eating opportunity going rice company,0.2,0.6,0.199,-0.0056,0
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0,coming like experiencing underwhelming relationship party not wait person ask break,0.0,0.794,0.206,0.6369,1
walked in and the place smelled like an old grease trap and only 2 others there eating.,0,walked place smelled like old grease trap others eating,0.122,0.745,0.133,0.0516,1
The turkey and roast beef were bland.,0,turkey roast beef bland,0.0,1.0,0.0,0.0,0
This place has it!,1,place,0.0,1.0,0.0,0.0,0
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,pan cake everyone raving taste like sugary disaster tailored palate six year old,0.174,0.72,0.106,-0.3818,0
I love the Pho and the spring rolls oh so yummy you have to try.,1,love pho spring roll oh yummy try,0.0,0.583,0.417,0.8613,1
The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,poor batter meat ratio made chicken tender unsatisfying,0.211,0.68,0.109,-0.3612,0
All I have to say is the food was amazing!!!,1,say food amazing,0.0,0.631,0.369,0.6884,1
Omelets are to die for!,1,omelet die,0.512,0.488,0.0,-0.636,0
Everything was fresh and delicious!,1,everything fresh delicious,0.0,0.323,0.677,0.7424,1
"In summary, this was a largely disappointing dining experience.",0,summary largely disappointing dining experience,0.314,0.686,0.0,-0.4939,0
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,like really sexy party mouth outrageously flirting hottest person party,0.075,0.446,0.479,0.8945,1
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0,never hard rock casino never ever step forward,0.0,0.898,0.102,0.1501,1
Best breakfast buffet!!!,1,best breakfast buffet,0.0,0.283,0.717,0.7249,1
say bye bye to your tip lady!,0,say bye bye tip lady,0.0,1.0,0.0,0.0,0
We'll never go again.,0,never go,0.0,1.0,0.0,0.0,0
Will be back again!,1,back,0.0,1.0,0.0,0.0,0
Food arrived quickly!,1,food arrived quickly,0.0,1.0,0.0,0.0,0
It was not good.,0,not good,0.445,0.555,0.0,-0.3412,0
"On the up side, their cafe serves really good food.",1,side cafe serf really good food,0.0,0.738,0.262,0.4927,1
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1,server fantastic found wife love roasted garlic bone marrow added extra meal another marrow go,0.0,0.774,0.226,0.8221,1
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,good thing waiter helpful kept bloddy mary coming,0.0,0.715,0.285,0.7178,1
"Best Buffet in town, for the price you cannot beat it.",1,best buffet town price not beat,0.0,0.704,0.296,0.6369,1
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,loved mussel cooked wine reduction duck tender potato dish delicious,0.0,0.658,0.342,0.8531,1
This is one of the better buffets that I have been to.,1,one better buffet,0.0,0.775,0.225,0.4404,1
So we went to Tigerlilly and had a fantastic afternoon!,1,went tigerlilly fantastic afternoon,0.0,0.673,0.327,0.5983,1
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1,food delicious bartender attentive personable got great deal,0.0,0.616,0.384,0.8439,1
The ambience is wonderful and there is music playing.,1,ambience wonderful music playing,0.0,0.56,0.44,0.6705,1
Will go back next trip out.,1,go back next trip,0.0,1.0,0.0,0.0,0
Sooooo good!!,1,sooooo good,0.0,0.223,0.777,0.5399,1
"REAL sushi lovers, let's be honest - Yama is not that good.",0,real sushi lover let honest yama not good,0.141,0.468,0.392,0.6479,1
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,least min passed u ordering food arriving not busy,0.0,1.0,0.0,0.0,0
This is a really fantastic Thai restaurant which is definitely worth a visit.,1,really fantastic thai restaurant definitely worth visit,0.0,0.485,0.515,0.8173,1
"Nice, spicy and tender.",1,nice spicy tender,0.0,0.517,0.483,0.4215,1
Good prices.,1,good price,0.0,0.256,0.744,0.4404,1
Check it out.,1,check,0.0,1.0,0.0,0.0,0
It was pretty gross!,0,pretty gross,0.361,0.233,0.406,0.1007,1
I've had better atmosphere.,0,better atmosphere,0.0,0.508,0.492,0.4404,1
Kind of hard to mess up a steak but they did.,0,kind hard mess steak,0.269,0.731,0.0,-0.2382,0
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,although much liked look sound place actual experience bit disappointing,0.15,0.705,0.145,-0.0314,0
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,not know place managed served blandest food ever eaten preparing indian cuisine,0.0,1.0,0.0,0.0,0
"Worst service to boot, but that is the least of their worries.",0,worst service boot least worry,0.385,0.615,0.0,-0.7391,0
Service was fine and the waitress was friendly.,1,service fine waitress friendly,0.0,0.545,0.455,0.6124,1
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,guy steak steak loving son steak best worst place said best steak ever eaten,0.099,0.604,0.297,0.8481,1
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1,thought venture away get good sushi place really hit spot night,0.0,0.911,0.089,0.2382,1
"Host staff were, for lack of a better word, BITCHES!",0,host staff lack better word bitch,0.448,0.372,0.18,-0.6514,0
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,bland not liking place number reason not want waste time bad reviewing leave,0.284,0.59,0.126,-0.5496,0
"Phenomenal food, service and ambiance.",1,phenomenal food service ambiance,0.0,1.0,0.0,0.0,0
I wouldn't return.,0,would not return,0.0,1.0,0.0,0.0,0
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,definitely worth venturing strip pork belly return next time vega,0.0,0.765,0.235,0.5574,1
This place is way too overpriced for mediocre food.,0,place way overpriced mediocre food,0.0,1.0,0.0,0.0,0
Penne vodka excellent!,1,penne vodka excellent,0.0,0.334,0.666,0.6114,1
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,good selection food including massive meatloaf sandwich crispy chicken wrap delish tuna melt tasty burger,0.0,0.868,0.132,0.4404,1
The management is rude.,0,management rude,0.5,0.5,0.0,-0.4588,0
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,delicious nyc bagel good selection cream cheese real lox caper even,0.0,0.625,0.375,0.765,1
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1,great subway fact good come every subway not meet expectation,0.0,0.684,0.316,0.8334,1
I had a seriously solid breakfast here.,1,seriously solid breakfast,0.27,0.476,0.254,-0.0258,0
This is one of the best bars with food in Vegas.,1,one best bar food vega,0.0,0.704,0.296,0.6369,1
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,extremely rude really many restaurant would love dine weekend vega,0.124,0.717,0.159,0.228,1
My drink was never empty and he made some really great menu suggestions.,1,drink never empty made really great menu suggestion,0.0,0.648,0.352,0.7171,1
Don't do it!!!!,0,not,0.0,1.0,0.0,0.0,0
The waiter wasn't helpful or friendly and rarely checked on us.,0,waiter not helpful friendly rarely checked u,0.355,0.645,0.0,-0.6072,0
My husband and I ate lunch here and were very disappointed with the food and service.,0,husband ate lunch disappointed food service,0.195,0.805,0.0,-0.5256,0
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,red curry much bamboo shoot not tasty,0.0,1.0,0.0,0.0,0
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1,nice blanket moz top feel like done cover subpar food,0.0,0.696,0.304,0.6757,1
The bathrooms are clean and the place itself is well decorated.,1,bathroom clean place well decorated,0.0,0.652,0.348,0.5859,1
"The menu is always changing, food quality is going down & service is extremely slow.",0,menu always changing food quality going service extremely slow,0.0,1.0,0.0,0.0,0
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,service little slow considering served people server food coming slow pace,0.0,1.0,0.0,0.0,0
I give it 2 thumbs down,0,give thumb,0.0,1.0,0.0,0.0,0
We watched our waiter pay a lot more attention to other tables and ignore us.,0,watched waiter pay lot attention table ignore u,0.245,0.755,0.0,-0.4404,0
My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,fiancé came middle day greeted seated right away,0.0,0.89,0.11,0.2732,1
This is a great restaurant at the Mandalay Bay.,1,great restaurant mandalay bay,0.0,0.631,0.369,0.6249,1
We waited for forty five minutes in vain.,0,waited forty five minute vain,0.286,0.714,0.0,-0.4215,0
Crostini that came with the salad was stale.,0,crostini came salad stale,0.0,1.0,0.0,0.0,0
Some highlights : Great quality nigiri here!,1,highlight great quality nigiri,0.0,0.532,0.468,0.6588,1
the staff is friendly and the joint is always clean.,1,staff friendly joint always clean,0.0,0.576,0.424,0.7096,1
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1,different cut piece day still wonderful tender well well flavored,0.058,0.558,0.385,0.8689,1
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1,ordered voodoo pasta first time really excellent pasta since going gluten free several year ago,0.0,0.733,0.267,0.807,1
this place is good.,1,place good,0.0,0.508,0.492,0.4404,1
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,unfortunately must hit bakery leftover day everything ordered stale,0.138,0.862,0.0,-0.34,0
I came back today since they relocated and still not impressed.,0,came back today since relocated still not impressed,0.221,0.779,0.0,-0.3724,0
I was seated immediately.,1,seated immediately,0.0,1.0,0.0,0.0,0
"Their menu is diverse, and reasonably priced.",1,menu diverse reasonably priced,0.0,1.0,0.0,0.0,0
Avoid at all cost!,0,avoid cost,0.454,0.546,0.0,-0.3595,0
Restaurant is always full but never a wait.,1,restaurant always full never wait,0.0,1.0,0.0,0.0,0
DELICIOUS!!,1,delicious,0.0,0.0,1.0,0.6467,1
This place is hands-down one of the best places to eat in the Phoenix metro area.,1,place hand one best place eat phoenix metro area,0.0,0.781,0.219,0.6369,1
So don't go there if you are looking for good food...,0,not go looking good food,0.0,0.775,0.225,0.4404,1
I've never been treated so bad.,0,never treated bad,0.473,0.527,0.0,-0.6696,0
Bacon is hella salty.,1,bacon hella salty,0.0,1.0,0.0,0.0,0
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0,also ordered spinach avocado salad ingredient sad dressing literally zero taste,0.147,0.853,0.0,-0.4767,0
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1,really vega fine dining used right menu handed lady no price listed,0.085,0.846,0.069,-0.1027,0
The waitresses are very friendly.,1,waitress friendly,0.0,0.534,0.466,0.5413,1
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1,lordy khao soi dish not missed curry lover,0.0,0.7,0.3,0.6788,1
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1,everything menu terrific also thrilled made amazing accommodation vegetarian daughter,0.0,0.634,0.366,0.8689,1
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,perhaps caught night judging review not inspired go back,0.161,0.839,0.0,-0.5334,0
The service here leaves a lot to be desired.,0,service leaf lot desired,0.0,0.769,0.231,0.2732,1
"The atmosphere is modern and hip, while maintaining a touch of coziness.",1,atmosphere modern hip maintaining touch coziness,0.0,0.8,0.2,0.3612,1
"Not a weekly haunt, but definitely a place to come back to every once in a while.",1,not weekly haunt definitely place come back every,0.0,0.699,0.301,0.6345,1
We literally sat there for 20 minutes with no one asking to take our order.,0,literally sat minute no one asking take order,0.136,0.864,0.0,-0.296,0
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,burger absolutely no flavor meat totally bland burger overcooked no charcoal flavor,0.2,0.8,0.0,-0.6106,0
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0,also decided not send back waitress looked like verge heart attack,0.126,0.772,0.102,-0.1531,0
I dressed up to be treated so rudely!,0,dressed treated rudely,0.424,0.576,0.0,-0.6606,0
It was probably dirt.,0,probably dirt,0.444,0.556,0.0,-0.34,0
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1,love place hit spot want something healthy not lacking quantity flavor,0.0,0.714,0.286,0.5574,1
I ordered the Lemon raspberry ice cocktail which was also incredible.,1,ordered lemon raspberry ice cocktail also incredible,0.0,1.0,0.0,0.0,0
"The food sucked, which we expected but it sucked more than we could have imagined.",0,food sucked expected sucked could imagined,0.316,0.684,0.0,-0.7184,0
Interesting decor.,1,interesting decor,0.0,0.27,0.73,0.4019,1
What I really like there is the crepe station.,1,really like crepe station,0.0,0.715,0.285,0.4201,1
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1,also served hot bread butter home made potato chip bacon bit top original good,0.0,0.776,0.224,0.6697,1
you can watch them preparing the delicious food!),1,watch preparing delicious food,0.0,0.637,0.363,0.6114,1
Both of the egg rolls were fantastic.,1,egg roll fantastic,0.0,0.625,0.375,0.5574,1
"When my order arrived, one of the gyros was missing.",0,order arrived one gyro missing,0.196,0.804,0.0,-0.296,0
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1,salad wing ice cream dessert left feeling quite satisfied,0.0,0.753,0.247,0.5563,1
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0,not really sure joey voted best hot dog valley reader phoenix magazine,0.093,0.727,0.18,0.4627,1
The best place to go for a tasty bowl of Pho!,1,best place go tasty bowl pho,0.0,0.667,0.333,0.6696,1
The live music on Fridays totally blows.,0,live music friday totally blow,0.0,1.0,0.0,0.0,0
I've never been more insulted or felt disrespected.,0,never insulted felt disrespected,0.252,0.503,0.245,-0.021,0
Very friendly staff.,1,friendly staff,0.0,0.364,0.636,0.5413,1
It is worth the drive.,1,worth drive,0.0,0.678,0.322,0.2263,1
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1,heard good thing place exceeding every hope could dreamed,0.0,0.707,0.293,0.7003,1
Food was great and so was the serivce!,1,food great serivce,0.0,0.614,0.386,0.6588,1
The warm beer didn't help.,0,warm beer not help,0.315,0.419,0.265,-0.092,0
Great brunch spot.,1,great brunch spot,0.0,0.328,0.672,0.6249,1
Service is friendly and inviting.,1,service friendly inviting,0.0,0.353,0.647,0.6705,1
Very good lunch spot.,1,good lunch spot,0.0,0.484,0.516,0.4927,1
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0,lived since first last time stepped foot place,0.0,1.0,0.0,0.0,0
The WORST EXPERIENCE EVER.,0,worst experience ever,0.617,0.383,0.0,-0.7034,0
Must have been an off night at this place.,0,must night place,0.0,1.0,0.0,0.0,0
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1,side delish mixed mushroom yukon gold puree white corn beateous,0.0,1.0,0.0,0.0,0
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0,bug never showed would given sure side wall bug climbing kitchen,0.0,0.94,0.06,0.1655,1
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0,minute waiting salad realized not coming time soon,0.0,1.0,0.0,0.0,0
My friend loved the salmon tartar.,1,friend loved salmon tartar,0.0,0.36,0.64,0.7964,1
Won't go back.,0,not go back,0.0,1.0,0.0,0.0,0
Extremely Tasty!,1,extremely tasty,0.0,1.0,0.0,0.0,0
Waitress was good though!,1,waitress good though,0.0,0.484,0.516,0.4926,1
Soggy and not good.,0,soggy not good,0.445,0.555,0.0,-0.3412,0
The Jamaican mojitos are delicious.,1,jamaican mojitos delicious,0.0,0.519,0.481,0.5719,1
Which are small and not worth the price.,0,small not worth price,0.192,0.808,0.0,-0.1695,0
- the food is rich so order accordingly.,1,food rich order accordingly,0.0,0.625,0.375,0.5574,1
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0,shower area outside rinse not take full shower unless not mind nude everyone see,0.0,1.0,0.0,0.0,0
The service was a bit lacking.,0,service bit lacking,0.0,1.0,0.0,0.0,0
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0,lobster bisque bussell sprout risotto filet needed salt pepper course none table,0.0,1.0,0.0,0.0,0
Hopefully this bodes for them going out of business and someone who can cook can come in.,0,hopefully bodes going business someone cook come,0.0,0.856,0.144,0.4019,1
"It was either too cold, not enough flavor or just bad.",0,either cold not enough flavor bad,0.259,0.741,0.0,-0.5423,0
I loved the bacon wrapped dates.,1,loved bacon wrapped date,0.0,0.506,0.494,0.5994,1
This is an unbelievable BARGAIN!,1,unbelievable bargain,0.0,0.393,0.607,0.561,1
The folks at Otto always make us feel so welcome and special.,1,folk otto always make u feel welcome special,0.0,0.594,0.406,0.7802,1
"As for the ""mains,"" also uninspired.",0,main also uninspired,0.0,1.0,0.0,0.0,0
This is the place where I first had pho and it was amazing!!,1,place first pho amazing,0.0,0.715,0.285,0.658,1
This wonderful experience made this place a must-stop whenever we are in town again.,1,wonderful experience made place must stop whenever town,0.0,0.764,0.236,0.5719,1
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0,food not bad enough enjoy dealing world worst annoying drunk people,0.107,0.624,0.269,0.5647,1
Very very fun chef.,1,fun chef,0.0,0.437,0.563,0.5956,1
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0,ordered double cheeseburger got single patty falling apart picture uploaded yeah still suck,0.224,0.656,0.12,-0.2263,0
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1,great place couple drink watch sporting event wall covered tv,0.0,0.823,0.177,0.6249,1
"If it were possible to give them zero stars, they'd have it.",0,possible give zero star,0.0,1.0,0.0,0.0,0
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,description said yum yum sauce another said eel sauce yet another said spicy mayo well none roll sauce,0.0,1.0,0.0,0.0,0
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1,say would hardest decision honestly dish taste supposed taste amazing,0.0,0.87,0.13,0.4588,1
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0,not rolled eye may stayed not sure go back try,0.085,0.915,0.0,-0.2411,0
"Everyone is very attentive, providing excellent customer service.",1,everyone attentive providing excellent customer service,0.0,0.638,0.362,0.6077,1
Horrible - don't waste your time and money.,0,horrible not waste time money,0.323,0.462,0.215,-0.2887,0
Now this dish was quite flavourful.,1,dish quite flavourful,0.0,1.0,0.0,0.0,0
By this time our side of the restaurant was almost empty so there was no excuse.,0,time side restaurant almost empty no excuse,0.217,0.712,0.071,-0.3961,0
"(It wasn't busy either) Also, the building was FREEZING cold.",0,not busy either also building freezing cold,0.192,0.808,0.0,-0.2808,0
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0,like reviewer said could not pay eat place,0.0,0.774,0.226,0.4207,1
-Drinks took close to 30 minutes to come out at one point.,0,drink took close minute come one point,0.0,1.0,0.0,0.0,0
"Seriously flavorful delights, folks.",1,seriously flavorful delight folk,0.254,0.299,0.448,0.3182,1
Much better than the other AYCE sushi place I went to in Vegas.,1,much better ayce sushi place went vega,0.0,0.791,0.209,0.4404,1
The lighting is just dark enough to set the mood.,1,lighting dark enough set mood,0.0,1.0,0.0,0.0,0
